BER,"BCH(127,8)","BCH(31,6)","BCH(15,5)","BCH(15,7)","BCH(15,11)","BCH(7,4)",No encoding (k=15),No encoding (k=7)
0.0,0.06299212598425197,0.1935483870967742,0.3333333333333333,0.4666666666666667,0.7333333333333333,0.5714285714285714,1.0,1.0
0.075,0.06299212598425197,0.1935483870967742,0.3222222222222222,0.4137777777777778,0.5133333333333333,0.518095238095238,0.2866666666666667,0.6666666666666666
0.15,0.06299212598425197,0.1729032258064516,0.2777777777777778,0.27999999999999997,0.18088888888888888,0.4228571428571428,0.09333333333333334,0.3466666666666667
0.22499999999999998,0.048293963254593175,0.10451612903225807,0.1711111111111111,0.15555555555555556,0.0928888888888889,0.30857142857142855,0.02,0.15333333333333332
0.3,0.007139107611548556,0.052903225806451605,0.09777777777777777,0.04666666666666667,0.024444444444444442,0.14857142857142858,0.006666666666666667,0.06
0.375,0.0,0.015483870967741935,0.04666666666666667,0.021777777777777778,0.009777777777777778,0.10285714285714284,0.0,0.03333333333333333
0.45,0.0,0.0025806451612903226,0.024444444444444442,0.0031111111111111114,0.0,0.05714285714285714,0,0.013333333333333334
0.525,0.0,0.0,0.0022222222222222222,0.0,0.0,0.026666666666666665,0,0
0.6,0.0,0.0,0.0022222222222222222,0.0,0.0,0.0038095238095238095,0,0
0.6749999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0,0
