BER,"BCH(127,8)","BCH(31,6)","BCH(15,5)","BCH(15,7)","BCH(15,11)","BCH(7,4)",No encoding (k=15),No encoding (k=7)
0.0,0.06299212598425197,0.1935483870967742,0.3333333333333333,0.4666666666666667,0.7333333333333333,0.5714285714285714,1.0,1.0
0.025,0.06299212598425197,0.1935483870967742,0.3333333333333333,0.4644888888888889,0.6995999999999999,0.5645714285714285,0.694,0.86
0.05,0.06299212598425197,0.1935483870967742,0.33155555555555555,0.4501777777777778,0.6047555555555555,0.5504761904761905,0.47733333333333333,0.7086666666666667
0.07500000000000001,0.06299212598425197,0.19329032258064516,0.3273333333333333,0.4162666666666667,0.4996444444444444,0.5169523809523809,0.30333333333333334,0.5806666666666667
0.1,0.06299212598425197,0.19148387096774191,0.3131111111111111,0.37924444444444444,0.39697777777777776,0.4876190476190476,0.21266666666666667,0.4846666666666667
0.125,0.06299212598425197,0.18645161290322582,0.29888888888888887,0.34097777777777777,0.30115555555555557,0.448,0.142,0.372
0.15,0.06282414698162729,0.1775483870967742,0.27044444444444443,0.2884,0.2278222222222222,0.4118095238095238,0.08933333333333333,0.31866666666666665
0.175,0.06194225721784777,0.15896774193548388,0.25022222222222223,0.23084444444444444,0.16915555555555553,0.3657142857142857,0.054,0.24866666666666667
0.19999999999999998,0.05816272965879265,0.13870967741935483,0.21266666666666667,0.17422222222222222,0.11684444444444443,0.33790476190476193,0.036,0.204
0.22499999999999998,0.04455643044619423,0.11780645161290322,0.17977777777777776,0.14746666666666666,0.09924444444444444,0.29409523809523813,0.021333333333333333,0.158
0.24999999999999997,0.030194225721784776,0.09135483870967741,0.15044444444444444,0.112,0.05915555555555555,0.2563809523809524,0.012666666666666666,0.12866666666666668
0.27499999999999997,0.016041994750656166,0.064,0.12266666666666666,0.08835555555555555,0.03568888888888888,0.2198095238095238,0.006666666666666667,0.10466666666666667
0.3,0.006005249343832022,0.048,0.09911111111111111,0.0616,0.029333333333333333,0.176,0.0033333333333333335,0.07733333333333334
0.325,0.0013858267716535433,0.03264516129032258,0.07577777777777778,0.04293333333333333,0.017599999999999998,0.15923809523809523,0.002,0.062
0.35000000000000003,0.0004199475065616798,0.019096774193548386,0.058444444444444445,0.030177777777777776,0.012222222222222221,0.1356190476190476,0,0.04466666666666667
0.37500000000000006,4.1994750656167974e-05,0.012387096774193548,0.03755555555555555,0.018666666666666668,0.005866666666666667,0.1158095238095238,0,0.03933333333333333
0.4000000000000001,4.1994750656167974e-05,0.005935483870967742,0.032,0.011822222222222222,0.0029333333333333334,0.0979047619047619,0,0.032
0.4250000000000001,0.0,0.002967741935483871,0.020666666666666667,0.0077777777777777776,0.0034222222222222223,0.0739047619047619,0,0.020666666666666667
0.4500000000000001,0.0,0.0016774193548387095,0.01311111111111111,0.006844444444444445,0.0,0.05638095238095238,0,0.014666666666666666
0.47500000000000014,0.0,0.00012903225806451613,0.0077777777777777776,0.002177777777777778,0.0,0.04609523809523809,0,0.012
0.5000000000000001,0.0,0.0003870967741935484,0.0077777777777777776,0.0012444444444444445,0.0,0.037714285714285714,0,0.006666666666666667
0.5250000000000001,0.0,0.0,0.0028888888888888888,0.0018666666666666666,0.0,0.027428571428571427,0,0.007333333333333333
0.5500000000000002,0.0,0.0,0.0026666666666666666,0.0,0.0,0.023238095238095235,0,0.004
0.5750000000000002,0.0,0.0,0.002,0.0,0.0,0.01676190476190476,0,0
0.6000000000000002,0.0,0.0,0.0,0.0,0.0,0.010285714285714285,0,0
0.6250000000000002,0.0,0.0,0.0,0.0,0.0,0.009142857142857142,0,0
0.6500000000000002,0.0,0.0,0.0,0.0,0.0,0.005714285714285714,0,0
0.6750000000000003,0.0,0.0,0.0,0.0,0.0,0.0034285714285714284,0,0
0.7000000000000003,0.0,0.0,0.0,0.0,0.0,0.0019047619047619048,0,0
