BER,"BCH(127,8)","BCH(31,6)","BCH(15,5)","BCH(15,7)","BCH(15,11)","BCH(7,4)",No encoding (k=15),No encoding (k=7)
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.025,1.0,1.0,1.0,0.9953333333333333,0.954,0.988,0.694,0.86
0.05,1.0,1.0,0.9946666666666667,0.9646666666666667,0.8246666666666667,0.9633333333333334,0.47733333333333333,0.7086666666666667
0.07500000000000001,1.0,0.9986666666666667,0.982,0.892,0.6813333333333333,0.9046666666666666,0.30333333333333334,0.5806666666666667
0.1,1.0,0.9893333333333333,0.9393333333333334,0.8126666666666666,0.5413333333333333,0.8533333333333334,0.21266666666666667,0.4846666666666667
0.125,1.0,0.9633333333333334,0.8966666666666666,0.7306666666666667,0.4106666666666667,0.784,0.142,0.372
0.15,0.9973333333333333,0.9173333333333333,0.8113333333333334,0.618,0.31066666666666665,0.7206666666666667,0.08933333333333333,0.31866666666666665
0.175,0.9833333333333333,0.8213333333333334,0.7506666666666667,0.49466666666666664,0.23066666666666666,0.64,0.054,0.24866666666666667
0.19999999999999998,0.9233333333333333,0.7166666666666667,0.638,0.37333333333333335,0.15933333333333333,0.5913333333333334,0.036,0.204
0.22499999999999998,0.7073333333333334,0.6086666666666667,0.5393333333333333,0.316,0.13533333333333333,0.5146666666666667,0.021333333333333333,0.158
0.24999999999999997,0.47933333333333333,0.472,0.4513333333333333,0.24,0.08066666666666666,0.44866666666666666,0.012666666666666666,0.12866666666666668
0.27499999999999997,0.25466666666666665,0.33066666666666666,0.368,0.18933333333333333,0.048666666666666664,0.38466666666666666,0.006666666666666667,0.10466666666666667
0.3,0.09533333333333334,0.248,0.29733333333333334,0.132,0.04,0.308,0.0033333333333333335,0.07733333333333334
0.325,0.022,0.16866666666666666,0.22733333333333333,0.092,0.024,0.2786666666666667,0.002,0.062
0.35000000000000003,0.006666666666666667,0.09866666666666667,0.17533333333333334,0.06466666666666666,0.016666666666666666,0.23733333333333334,0,0.04466666666666667
0.37500000000000006,0.0006666666666666666,0.064,0.11266666666666666,0.04,0.008,0.20266666666666666,0,0.03933333333333333
0.4000000000000001,0.0006666666666666666,0.030666666666666665,0.096,0.025333333333333333,0.004,0.17133333333333334,0,0.032
0.4250000000000001,0,0.015333333333333332,0.062,0.016666666666666666,0.004666666666666667,0.12933333333333333,0,0.020666666666666667
0.4500000000000001,0,0.008666666666666666,0.03933333333333333,0.014666666666666666,0,0.09866666666666667,0,0.014666666666666666
0.47500000000000014,0,0.0006666666666666666,0.023333333333333334,0.004666666666666667,0,0.08066666666666666,0,0.012
0.5000000000000001,0,0.002,0.023333333333333334,0.0026666666666666666,0,0.066,0,0.006666666666666667
0.5250000000000001,0,0,0.008666666666666666,0.004,0,0.048,0,0.007333333333333333
0.5500000000000002,0,0,0.008,0,0,0.04066666666666666,0,0.004
0.5750000000000002,0,0,0.006,0,0,0.029333333333333333,0,0
0.6000000000000002,0,0,0,0,0,0.018,0,0
0.6250000000000002,0,0,0,0,0,0.016,0,0
0.6500000000000002,0,0,0,0,0,0.01,0,0
0.6750000000000003,0,0,0,0,0,0.006,0,0
0.7000000000000003,0,0,0,0,0,0.0033333333333333335,0,0
